job_title,routine_task_pct,creativity_score,social_skill_score,education_level,annual_salary_usd,ai_tool_exposure,years_experience,industry,risk_level
Telemarketer,0.877,0.092,0.338,1,30517,0.848,8,1,2
Security Guard,0.846,0.0,0.226,1,34428,0.811,8,12,2
Nurse,0.361,0.476,0.913,3,67857,0.266,4,4,0
Truck Driver,0.75,0.123,0.254,1,56104,0.881,11,3,2
Research Scientist,0.255,0.904,0.644,4,122114,0.334,4,5,0
Radiologist,0.543,0.48,0.587,5,297776,0.718,3,4,1
Social Worker,0.175,0.378,0.886,4,43597,0.159,12,8,0
Customer Service Rep,0.745,0.225,0.575,1,37157,0.877,7,1,2
Customer Service Rep,0.832,0.102,0.638,1,32156,0.866,4,1,2
Customer Service Rep,0.882,0.054,0.652,2,39967,0.803,10,1,2
HR Manager,0.397,0.507,0.871,4,76142,0.502,4,9,0
HR Manager,0.52,0.562,0.786,3,84213,0.399,7,9,1
Research Scientist,0.119,1.0,0.638,4,101750,0.409,8,5,0
Telemarketer,0.935,0.026,0.49,1,31322,0.869,6,1,2
Financial Analyst,0.552,0.539,0.382,3,76120,0.687,12,2,1
Teacher,0.248,0.652,0.926,3,59894,0.337,10,6,0
HR Manager,0.497,0.513,0.807,3,86772,0.537,7,9,1
HR Manager,0.333,0.528,0.825,3,70338,0.556,17,9,1
Research Scientist,0.261,0.978,0.599,5,119372,0.391,0,5,0
Software Engineer,0.311,0.75,0.485,4,122865,0.617,13,5,1
Lawyer,0.434,0.719,0.668,4,136536,0.64,10,10,1
Customer Service Rep,0.805,0.169,0.611,2,36671,0.82,12,1,2
Graphic Designer,0.369,0.88,0.526,3,51734,0.642,8,7,1
Customer Service Rep,0.692,0.15,0.557,2,35890,0.839,16,1,2
Software Engineer,0.164,0.728,0.511,4,113760,0.575,8,5,0
Marketing Manager,0.197,0.699,0.739,3,83126,0.525,5,7,0
Financial Analyst,0.541,0.591,0.493,3,86872,0.649,15,2,1
Customer Service Rep,0.84,0.134,0.583,2,39669,0.864,11,1,2
Radiologist,0.53,0.639,0.686,4,335725,0.728,8,4,1
Data Entry Clerk,0.914,0.041,0.053,1,36521,0.825,4,0,2
Radiologist,0.524,0.521,0.457,5,331536,0.626,12,4,1
Nurse,0.254,0.417,0.891,3,76558,0.235,5,4,0
Data Entry Clerk,0.894,0.128,0.068,1,35091,0.863,7,0,2
Cook / Chef,0.594,0.643,0.457,1,33861,0.38,7,11,1
Radiologist,0.584,0.583,0.457,5,301039,0.712,3,4,1
Security Guard,0.737,0.048,0.399,1,35402,0.683,10,12,2
Research Scientist,0.186,0.949,0.603,4,117302,0.4,5,5,0
Nurse,0.302,0.461,0.82,2,75989,0.277,7,4,0
Social Worker,0.247,0.567,1.0,4,48687,0.125,4,8,0
Security Guard,0.78,0.169,0.306,1,27883,0.682,8,12,2
Telemarketer,0.912,0.123,0.398,1,27963,0.925,4,1,2
Lawyer,0.363,0.746,0.671,5,125472,0.525,10,10,0
Graphic Designer,0.482,0.945,0.49,3,57918,0.624,11,7,1
Data Entry Clerk,0.865,0.126,0.179,1,36485,1.0,0,0,2
HR Manager,0.518,0.668,0.81,3,64505,0.594,7,9,1
Software Engineer,0.24,0.882,0.48,2,113743,0.657,1,5,1
Lawyer,0.344,0.726,0.876,5,138826,0.509,7,10,0
Marketing Manager,0.29,0.803,0.794,4,84457,0.435,6,7,0
Teacher,0.234,0.846,0.926,3,68495,0.176,0,6,0
Marketing Manager,0.307,0.85,0.79,3,90176,0.466,6,7,0
Accountant,0.643,0.272,0.414,2,56232,0.81,11,2,2
Truck Driver,0.703,0.147,0.093,1,43301,0.851,2,3,2
Security Guard,0.658,0.15,0.3,1,29811,0.68,5,12,2
HR Manager,0.526,0.457,0.912,3,79560,0.426,8,9,1
Research Scientist,0.274,0.852,0.66,4,102205,0.348,4,5,0
Research Scientist,0.127,1.0,0.676,5,116630,0.358,10,5,0
Graphic Designer,0.42,0.886,0.451,2,66273,0.65,11,7,1
Research Scientist,0.153,1.0,0.608,5,122329,0.323,2,5,0
Radiologist,0.546,0.613,0.544,5,332222,0.659,10,4,1
Warehouse Worker,0.897,0.051,0.233,1,36287,0.902,2,3,2
Security Guard,0.799,0.103,0.378,1,29053,0.753,5,12,2
Security Guard,0.775,0.093,0.377,1,30434,0.651,7,12,2
Teacher,0.261,0.654,1.0,3,53936,0.294,6,6,0
Pharmacist,0.653,0.382,0.693,4,114432,0.599,7,4,1
Cook / Chef,0.622,0.575,0.494,1,33516,0.417,12,11,1
Truck Driver,0.752,0.238,0.28,1,45955,0.827,11,3,2
Data Entry Clerk,0.956,0.049,0.299,1,39463,0.942,10,0,2
Accountant,0.7,0.378,0.456,2,82128,0.768,10,2,2
Marketing Manager,0.356,0.787,0.864,4,83569,0.458,7,7,0
Teacher,0.268,0.639,0.932,4,56467,0.247,8,6,0
Social Worker,0.123,0.506,0.941,3,46644,0.144,5,8,0
Radiologist,0.355,0.61,0.652,4,262835,0.669,10,4,1
Cook / Chef,0.576,0.703,0.425,1,38147,0.44,11,11,1
Radiologist,0.472,0.536,0.587,4,306923,0.724,10,4,1
Software Engineer,0.336,0.822,0.495,4,107572,0.655,7,5,1
Data Entry Clerk,0.917,0.065,0.17,1,33431,0.915,0,0,2
Nurse,0.362,0.46,0.942,3,75279,0.275,10,4,0
Software Engineer,0.188,0.815,0.452,4,113247,0.529,5,5,0
Security Guard,0.67,0.11,0.309,1,29085,0.638,9,12,2
Security Guard,0.747,0.057,0.331,1,27718,0.654,6,12,2
Customer Service Rep,0.834,0.177,0.542,1,42155,0.872,7,1,2
Teacher,0.184,0.681,0.936,4,65301,0.253,8,6,0
Social Worker,0.149,0.412,1.0,2,52440,0.107,5,8,0
Radiologist,0.446,0.579,0.611,5,289601,0.688,4,4,1
Security Guard,0.674,0.0,0.327,1,29767,0.641,6,12,2
Software Engineer,0.316,0.879,0.516,4,102287,0.581,6,5,0
Graphic Designer,0.5,0.913,0.532,3,65394,0.684,8,7,1
Telemarketer,0.92,0.151,0.512,1,27149,0.904,8,1,2
Security Guard,0.821,0.2,0.291,1,29489,0.727,13,12,2
Telemarketer,0.871,0.14,0.259,1,30783,0.864,7,1,2
Data Entry Clerk,0.947,0.142,0.108,1,35752,0.88,8,0,2
Radiologist,0.414,0.531,0.615,5,301211,0.661,6,4,1
Marketing Manager,0.319,0.899,0.808,4,79209,0.508,3,7,0
Pharmacist,0.511,0.611,0.654,4,129412,0.6,0,4,1
Radiologist,0.617,0.542,0.594,4,306087,0.723,8,4,1
Social Worker,0.249,0.542,0.985,3,40459,0.13,12,8,0
Research Scientist,0.227,1.0,0.634,3,110750,0.398,7,5,0
Teacher,0.213,0.655,1.0,3,60829,0.265,14,6,0
Customer Service Rep,0.881,0.099,0.51,1,35685,0.907,11,1,2
Social Worker,0.196,0.636,0.991,4,56191,0.012,9,8,0
Teacher,0.295,0.629,0.961,4,60748,0.214,14,6,0
Telemarketer,0.92,0.105,0.466,1,31438,0.868,22,1,2
Truck Driver,0.679,0.104,0.223,1,45134,0.68,6,3,2
Financial Analyst,0.655,0.536,0.459,3,103776,0.727,10,2,2
Radiologist,0.509,0.44,0.591,5,333133,0.71,4,4,1
Customer Service Rep,0.885,0.093,0.636,2,32774,0.909,10,1,2
Data Entry Clerk,1.0,0.177,0.126,1,36216,0.954,9,0,2
Pharmacist,0.611,0.4,0.685,4,101634,0.521,5,4,1
Truck Driver,0.733,0.117,0.315,1,39891,0.776,0,3,2
Nurse,0.395,0.435,0.952,3,67856,0.308,8,4,0
Social Worker,0.208,0.47,0.939,3,44081,0.213,5,8,0
Nurse,0.3,0.288,0.862,2,79749,0.301,2,4,0
Research Scientist,0.21,0.947,0.687,4,98416,0.306,13,5,0
Nurse,0.303,0.521,0.887,2,63144,0.297,5,4,0
Marketing Manager,0.377,0.723,0.873,3,89348,0.521,8,7,0
Data Entry Clerk,0.984,0.196,0.198,1,30043,0.892,0,0,2
Cook / Chef,0.581,0.637,0.449,1,34696,0.438,1,11,1
Accountant,0.668,0.362,0.469,2,72249,0.819,1,2,2
Telemarketer,0.855,0.177,0.372,1,27611,0.908,4,1,2
Customer Service Rep,0.876,0.09,0.562,2,37070,0.821,12,1,2
Cook / Chef,0.527,0.588,0.49,1,28488,0.384,12,11,1
HR Manager,0.438,0.533,0.778,3,89476,0.482,8,9,1
Social Worker,0.279,0.487,1.0,4,55697,0.131,3,8,0
Warehouse Worker,0.885,0.216,0.086,1,33237,0.807,1,3,2
Security Guard,0.69,0.0,0.389,1,34050,0.72,9,12,2
Telemarketer,0.98,0.085,0.485,1,38773,0.858,10,1,2
Social Worker,0.154,0.442,1.0,3,51115,0.203,12,8,0
Truck Driver,0.664,0.106,0.299,1,48010,0.854,13,3,2
Lawyer,0.359,0.797,0.754,3,133330,0.574,13,10,0
Lawyer,0.372,0.842,0.745,4,105724,0.59,12,10,0
Marketing Manager,0.296,0.868,0.805,3,101109,0.489,10,7,0
Research Scientist,0.171,0.838,0.607,5,113873,0.352,5,5,0
Truck Driver,0.759,0.107,0.107,1,45675,0.752,7,3,2
Warehouse Worker,0.829,0.0,0.12,1,35555,0.811,2,3,2
Security Guard,0.686,0.104,0.357,1,30647,0.704,6,12,2
Teacher,0.173,0.675,0.946,4,59528,0.314,0,6,0
Social Worker,0.254,0.485,0.932,4,53385,0.159,8,8,0
Research Scientist,0.234,1.0,0.607,4,95367,0.416,7,5,0
Security Guard,0.757,0.062,0.38,1,28343,0.644,6,12,2
Cook / Chef,0.518,0.64,0.476,1,34498,0.384,8,11,1
Lawyer,0.466,0.821,0.702,5,135816,0.535,5,10,0
Radiologist,0.482,0.567,0.551,4,363378,0.669,10,4,1
Pharmacist,0.611,0.324,0.614,5,116474,0.63,4,4,1
Nurse,0.397,0.276,0.935,3,78535,0.353,8,4,1
Telemarketer,0.835,0.106,0.264,1,30780,0.927,4,1,2
Truck Driver,0.625,0.121,0.255,1,44341,0.785,6,3,2
Truck Driver,0.684,0.165,0.205,1,55307,0.804,16,3,2
Pharmacist,0.621,0.497,0.583,5,147575,0.613,5,4,1
Software Engineer,0.32,0.8,0.507,3,131509,0.629,1,5,1
Accountant,0.605,0.422,0.308,2,72909,0.701,4,2,2
Software Engineer,0.348,0.856,0.55,3,117307,0.651,0,5,1
Cook / Chef,0.519,0.582,0.396,1,34111,0.405,8,11,1
Software Engineer,0.232,0.868,0.559,3,119761,0.595,12,5,0
Lawyer,0.285,0.868,0.9,3,117984,0.641,0,10,0
Accountant,0.526,0.331,0.456,3,86028,0.801,5,2,2
Financial Analyst,0.602,0.441,0.473,3,96456,0.797,0,2,2
Nurse,0.314,0.469,0.939,3,71924,0.314,12,4,0
Radiologist,0.527,0.503,0.603,4,344208,0.7,12,4,1
Warehouse Worker,0.772,0.003,0.161,1,49752,0.777,3,3,2
Radiologist,0.552,0.603,0.572,5,355457,0.68,5,4,1
Software Engineer,0.37,0.775,0.547,4,153193,0.613,7,5,1
Accountant,0.576,0.378,0.479,2,64422,0.788,9,2,2
Accountant,0.551,0.366,0.446,3,62182,0.771,12,2,2
Graphic Designer,0.421,0.836,0.35,3,58348,0.663,0,7,1
Pharmacist,0.638,0.435,0.684,5,114346,0.655,7,4,1
Lawyer,0.322,0.781,0.757,5,133439,0.544,11,10,0
Financial Analyst,0.614,0.516,0.467,4,106147,0.686,6,2,1
Nurse,0.38,0.437,0.971,3,59822,0.31,6,4,0
Cook / Chef,0.536,0.667,0.484,1,30717,0.387,4,11,1
Customer Service Rep,0.824,0.146,0.629,2,34199,0.929,12,1,2
Warehouse Worker,0.765,0.031,0.201,1,38408,0.869,9,3,2
Software Engineer,0.377,0.864,0.583,3,144731,0.595,8,5,1
Data Entry Clerk,0.932,0.095,0.155,1,36821,0.909,5,0,2
Social Worker,0.161,0.499,0.912,4,46175,0.173,6,8,0
Lawyer,0.401,0.901,0.702,5,101794,0.49,4,10,0
Nurse,0.269,0.469,0.889,3,72792,0.315,5,4,0
Graphic Designer,0.32,0.933,0.615,3,55510,0.581,4,7,0
Truck Driver,0.697,0.232,0.179,1,50599,0.867,2,3,2
Telemarketer,0.951,0.189,0.317,1,31830,0.872,8,1,2
Graphic Designer,0.457,0.789,0.447,3,53099,0.626,6,7,1
Security Guard,0.739,0.108,0.358,1,35722,0.632,1,12,2
Accountant,0.534,0.297,0.41,3,71429,0.726,17,2,2
Marketing Manager,0.325,0.786,0.884,4,100029,0.452,7,7,0
Marketing Manager,0.282,0.746,0.794,4,93453,0.587,4,7,0
Research Scientist,0.2,1.0,0.576,5,109174,0.358,6,5,0
Accountant,0.62,0.311,0.351,2,66150,0.774,0,2,2
Security Guard,0.716,0.15,0.363,1,30981,0.739,7,12,2
Social Worker,0.272,0.51,0.952,4,46425,0.096,8,8,0
Accountant,0.65,0.359,0.383,3,75036,0.816,7,2,2
Telemarketer,0.936,0.14,0.388,1,28674,0.904,7,1,2
Marketing Manager,0.238,0.771,0.854,4,100645,0.562,9,7,0
Security Guard,0.758,0.086,0.351,1,29181,0.783,6,12,2
Lawyer,0.348,0.81,0.721,4,120375,0.545,15,10,0
Lawyer,0.438,0.823,0.8,4,92114,0.576,3,10,0
Cook / Chef,0.554,0.764,0.386,1,36401,0.38,14,11,1
Warehouse Worker,0.841,0.141,0.119,1,26576,0.859,10,3,2
Security Guard,0.731,0.044,0.365,1,35594,0.686,5,12,2
Telemarketer,0.852,0.101,0.395,1,35082,0.971,11,1,2
Marketing Manager,0.225,0.844,0.856,4,101499,0.578,3,7,0
Cook / Chef,0.503,0.661,0.36,1,37456,0.39,10,11,1
Pharmacist,0.595,0.465,0.707,5,125556,0.59,10,4,1
Data Entry Clerk,0.996,0.119,0.097,1,37834,0.946,8,0,2
Social Worker,0.257,0.498,0.913,4,52048,0.168,8,8,0
Accountant,0.648,0.231,0.465,3,71656,0.762,20,2,2
Telemarketer,0.887,0.087,0.423,1,32906,0.927,10,1,2
Telemarketer,0.941,0.077,0.44,1,30260,0.957,8,1,2
Security Guard,0.685,0.121,0.351,1,31599,0.667,11,12,2
Accountant,0.613,0.387,0.41,3,65998,0.753,12,2,2
Research Scientist,0.148,0.956,0.666,4,112286,0.38,5,5,0
HR Manager,0.468,0.515,0.817,3,68959,0.535,10,9,1
Marketing Manager,0.316,0.861,0.788,3,96570,0.458,6,7,0
Pharmacist,0.616,0.317,0.626,5,100053,0.667,9,4,1
HR Manager,0.416,0.615,0.805,3,83302,0.507,9,9,1
Software Engineer,0.313,0.796,0.637,3,116285,0.556,5,5,0
Pharmacist,0.597,0.442,0.779,5,118388,0.498,7,4,1
Pharmacist,0.623,0.449,0.569,5,116169,0.611,5,4,1
Software Engineer,0.386,0.775,0.595,3,127913,0.56,9,5,1
Customer Service Rep,0.805,0.133,0.676,1,32911,0.887,1,1,2
Truck Driver,0.741,0.138,0.098,1,52831,0.864,6,3,2
Accountant,0.659,0.416,0.377,3,79278,0.721,9,2,2
Lawyer,0.3,0.713,0.765,5,127419,0.506,8,10,0
Security Guard,0.785,0.0,0.318,1,32486,0.569,18,12,2
Accountant,0.592,0.381,0.403,3,64567,0.781,7,2,2
Research Scientist,0.326,0.887,0.55,4,106828,0.271,6,5,0
Security Guard,0.866,0.152,0.327,1,28419,0.63,0,12,2
Lawyer,0.397,0.72,0.776,4,142581,0.6,13,10,1
Telemarketer,0.823,0.142,0.407,1,26513,0.908,0,1,2
Teacher,0.239,0.636,0.949,3,51503,0.284,10,6,0
Teacher,0.167,0.613,0.973,3,52771,0.28,4,6,0
Customer Service Rep,0.804,0.138,0.564,1,42317,0.88,7,1,2
Lawyer,0.414,0.777,0.831,5,151628,0.565,10,10,0
Cook / Chef,0.635,0.657,0.398,1,36021,0.362,6,11,1
Truck Driver,0.829,0.204,0.258,1,46236,0.786,7,3,2
Graphic Designer,0.411,0.955,0.495,3,53420,0.659,9,7,1
Lawyer,0.355,0.756,0.855,5,120382,0.483,6,10,0
Teacher,0.276,0.702,1.0,3,54464,0.194,7,6,0
Pharmacist,0.629,0.446,0.582,4,134694,0.594,11,4,1
Accountant,0.626,0.311,0.386,2,80058,0.735,13,2,2
Financial Analyst,0.536,0.575,0.51,5,105327,0.716,7,2,1
Cook / Chef,0.61,0.583,0.373,1,29419,0.372,7,11,1
Software Engineer,0.312,0.944,0.424,4,118622,0.628,5,5,1
Pharmacist,0.597,0.447,0.665,4,107548,0.673,6,4,1
Social Worker,0.244,0.424,1.0,4,46328,0.143,14,8,0
Nurse,0.394,0.417,0.901,3,75971,0.302,9,4,0
Graphic Designer,0.386,0.932,0.529,2,55505,0.695,2,7,1
Lawyer,0.394,0.801,0.674,5,142852,0.575,7,10,0
Cook / Chef,0.567,0.77,0.487,1,37546,0.468,9,11,1
Accountant,0.681,0.334,0.472,3,78159,0.702,9,2,2
Social Worker,0.199,0.392,0.91,3,52145,0.192,7,8,0
Research Scientist,0.217,0.956,0.618,4,115237,0.316,5,5,0
Truck Driver,0.692,0.125,0.182,1,46390,0.733,10,3,2
Marketing Manager,0.288,0.761,0.851,4,75799,0.515,5,7,0
Cook / Chef,0.504,0.703,0.545,1,39248,0.404,14,11,1
Graphic Designer,0.523,0.962,0.56,3,48208,0.63,6,7,1
Telemarketer,0.879,0.15,0.405,1,26173,0.865,2,1,2
Software Engineer,0.402,0.842,0.571,3,127917,0.64,9,5,1
Pharmacist,0.642,0.521,0.679,5,128415,0.64,8,4,1
Teacher,0.189,0.671,1.0,3,49855,0.243,10,6,0
Nurse,0.319,0.404,0.91,2,70591,0.231,11,4,0
Nurse,0.342,0.491,0.859,2,74892,0.307,8,4,0
Security Guard,0.73,0.108,0.381,1,31125,0.772,10,12,2
Telemarketer,0.853,0.131,0.313,1,36436,0.929,7,1,2
Nurse,0.412,0.426,0.954,3,74067,0.289,10,4,0
Nurse,0.37,0.5,0.987,3,78423,0.312,0,4,0
Graphic Designer,0.407,0.85,0.43,3,44380,0.616,18,7,1
Research Scientist,0.239,0.976,0.495,5,125975,0.326,14,5,0
Radiologist,0.529,0.521,0.57,4,359237,0.661,0,4,1
Truck Driver,0.822,0.163,0.204,1,47069,0.906,8,3,2
Telemarketer,0.858,0.133,0.345,1,29966,0.898,10,1,2
Customer Service Rep,0.785,0.097,0.509,2,38232,0.851,6,1,2
Social Worker,0.209,0.546,1.0,4,55799,0.125,3,8,0
Financial Analyst,0.604,0.512,0.535,4,87658,0.708,6,2,1
Marketing Manager,0.249,0.839,0.802,2,86715,0.517,6,7,0
Warehouse Worker,0.647,0.078,0.139,1,34977,0.915,6,3,2
Data Entry Clerk,0.915,0.055,0.063,1,40929,0.906,10,0,2
Software Engineer,0.217,0.782,0.581,4,117638,0.615,10,5,0
Marketing Manager,0.219,0.781,0.678,3,109351,0.422,3,7,0
Warehouse Worker,0.804,0.126,0.25,1,36030,0.913,6,3,2
Truck Driver,0.771,0.101,0.266,1,41587,0.836,13,3,2
Customer Service Rep,0.975,0.171,0.631,2,34647,0.76,10,1,2
Warehouse Worker,0.837,0.0,0.191,1,39052,0.918,11,3,2
Warehouse Worker,0.873,0.136,0.047,1,43292,0.831,0,3,2
Pharmacist,0.561,0.5,0.603,4,127694,0.493,2,4,1
Warehouse Worker,0.781,0.085,0.215,1,34763,0.812,4,3,2
Data Entry Clerk,1.0,0.122,0.152,1,34708,1.0,3,0,2
Radiologist,0.483,0.589,0.556,5,289111,0.696,12,4,1
Data Entry Clerk,0.91,0.16,0.115,1,43993,0.977,6,0,2
Telemarketer,0.855,0.074,0.37,1,29435,0.883,11,1,2
Cook / Chef,0.634,0.653,0.458,1,32540,0.419,3,11,1
Data Entry Clerk,0.935,0.137,0.0,1,31806,0.97,9,0,2
Telemarketer,0.776,0.064,0.334,1,30816,0.884,8,1,2
Warehouse Worker,0.747,0.134,0.019,1,39991,0.786,9,3,2
Software Engineer,0.293,0.887,0.528,3,118115,0.693,9,5,1
Software Engineer,0.301,0.736,0.553,3,132526,0.623,7,5,1
Radiologist,0.476,0.488,0.485,5,308636,0.635,16,4,1
Customer Service Rep,0.753,0.137,0.667,2,32656,0.836,8,1,2
Financial Analyst,0.515,0.635,0.527,3,89601,0.734,10,2,1
Telemarketer,0.826,0.07,0.372,1,26860,0.857,12,1,2
Telemarketer,0.868,0.187,0.368,1,29554,0.944,5,1,2
Truck Driver,0.739,0.191,0.197,1,46098,0.646,11,3,2
Accountant,0.726,0.345,0.394,3,72988,0.82,16,2,2
Teacher,0.238,0.706,0.929,4,54444,0.247,12,6,0
Social Worker,0.158,0.443,0.925,3,51076,0.188,10,8,0
Cook / Chef,0.542,0.668,0.433,1,37514,0.342,14,11,1
Graphic Designer,0.459,0.984,0.462,2,49300,0.64,7,7,1
Telemarketer,0.92,0.002,0.399,1,32798,0.884,8,1,2
Data Entry Clerk,0.888,0.123,0.175,1,25832,0.885,10,0,2
Pharmacist,0.472,0.455,0.652,3,137537,0.607,9,4,1
Customer Service Rep,0.764,0.138,0.608,1,39529,0.9,4,1,2
Research Scientist,0.169,0.96,0.517,4,124680,0.347,0,5,0
Cook / Chef,0.61,0.628,0.416,1,31080,0.424,7,11,1
Marketing Manager,0.353,0.785,0.84,3,93018,0.522,6,7,0
Nurse,0.295,0.543,0.96,2,77244,0.266,9,4,0
Cook / Chef,0.482,0.639,0.443,1,31452,0.466,8,11,1
Security Guard,0.778,0.178,0.315,1,30911,0.706,9,12,2
Warehouse Worker,0.745,0.145,0.07,1,37470,0.88,1,3,2
Financial Analyst,0.542,0.574,0.49,4,94396,0.627,8,2,1
Accountant,0.713,0.245,0.385,3,71326,0.859,1,2,2
Cook / Chef,0.67,0.593,0.331,1,29264,0.37,8,11,1
Teacher,0.298,0.819,0.885,4,53343,0.265,2,6,0
Data Entry Clerk,1.0,0.123,0.22,1,32744,0.813,12,0,2
Lawyer,0.442,0.898,0.743,4,129213,0.495,3,10,0
Marketing Manager,0.223,0.853,0.765,3,111320,0.491,9,7,0
Radiologist,0.502,0.54,0.596,5,275698,0.709,6,4,1
HR Manager,0.456,0.487,0.786,4,71943,0.498,4,9,1
Financial Analyst,0.529,0.569,0.512,4,119676,0.734,12,2,1
Research Scientist,0.208,0.921,0.651,5,105588,0.401,12,5,0
Telemarketer,0.802,0.167,0.366,1,36349,0.938,1,1,2
Telemarketer,0.706,0.119,0.494,1,33207,0.873,9,1,2
Financial Analyst,0.584,0.534,0.552,3,97300,0.712,7,2,1
Marketing Manager,0.3,0.711,0.771,3,98384,0.536,1,7,0
Pharmacist,0.68,0.47,0.638,5,122237,0.636,10,4,1
Accountant,0.585,0.357,0.391,3,72407,0.694,5,2,2
Nurse,0.306,0.423,0.989,3,78706,0.322,8,4,0
HR Manager,0.426,0.505,0.794,4,77801,0.489,8,9,1
Accountant,0.614,0.298,0.43,3,77947,0.888,1,2,2
Data Entry Clerk,0.942,0.119,0.137,1,34002,0.982,5,0,2
Lawyer,0.354,0.76,0.815,4,146114,0.608,4,10,0
Radiologist,0.473,0.477,0.418,4,324347,0.697,7,4,1
Cook / Chef,0.553,0.663,0.416,1,32668,0.404,12,11,1
Graphic Designer,0.585,0.917,0.507,2,57695,0.688,3,7,1
Warehouse Worker,0.798,0.118,0.195,1,37668,0.876,12,3,2
Customer Service Rep,0.854,0.13,0.569,2,36105,0.906,4,1,2
Software Engineer,0.216,0.744,0.566,4,115285,0.628,2,5,0
Lawyer,0.392,0.75,0.768,4,135876,0.532,8,10,0
Customer Service Rep,0.862,0.227,0.602,1,29275,0.956,12,1,2
Cook / Chef,0.54,0.677,0.45,1,29727,0.408,9,11,1
Data Entry Clerk,0.962,0.032,0.246,1,32125,0.956,7,0,2
Financial Analyst,0.666,0.637,0.513,3,71864,0.734,4,2,1
HR Manager,0.461,0.642,0.801,4,87052,0.426,11,9,0
Customer Service Rep,0.932,0.093,0.494,2,37129,0.913,10,1,2
Radiologist,0.606,0.574,0.707,3,318275,0.603,4,4,1
Data Entry Clerk,0.916,0.179,0.038,1,31883,0.981,4,0,2
Research Scientist,0.294,0.817,0.569,4,107738,0.462,12,5,0
Marketing Manager,0.264,0.768,0.877,3,92671,0.561,6,7,0
Marketing Manager,0.39,0.718,0.874,4,108261,0.539,2,7,0
Financial Analyst,0.607,0.544,0.618,3,86330,0.7,7,2,1
Customer Service Rep,0.832,0.014,0.579,1,38575,0.81,1,1,2
Pharmacist,0.62,0.47,0.585,5,111899,0.546,8,4,1
Data Entry Clerk,0.901,0.225,0.148,1,32637,0.941,3,0,2
HR Manager,0.55,0.496,0.83,3,87809,0.52,7,9,1
Marketing Manager,0.246,0.829,0.721,4,92100,0.494,10,7,0
Truck Driver,0.71,0.086,0.193,1,52779,0.719,9,3,2
Research Scientist,0.146,1.0,0.619,4,127441,0.445,13,5,0
Cook / Chef,0.5,0.729,0.531,1,41099,0.435,6,11,1
Security Guard,0.738,0.085,0.364,1,21500,0.719,9,12,2
Data Entry Clerk,0.928,0.061,0.192,1,35899,0.956,14,0,2
Teacher,0.191,0.6,0.963,4,69372,0.27,2,6,0
Customer Service Rep,0.774,0.17,0.6,2,35608,0.861,3,1,2
Warehouse Worker,0.808,0.057,0.05,2,37201,0.812,13,3,2
Graphic Designer,0.471,0.961,0.356,2,58311,0.624,3,7,1
Graphic Designer,0.527,0.93,0.545,3,48272,0.665,3,7,1
Data Entry Clerk,0.946,0.133,0.162,1,29463,0.99,5,0,2
Cook / Chef,0.548,0.612,0.466,1,38368,0.348,13,11,1
Graphic Designer,0.454,0.892,0.495,3,46004,0.698,7,7,1
HR Manager,0.433,0.56,0.737,3,74710,0.534,4,9,1
Pharmacist,0.514,0.454,0.702,4,138498,0.641,11,4,1
Graphic Designer,0.473,0.879,0.507,3,58115,0.538,8,7,1
Security Guard,0.833,0.161,0.328,1,32057,0.775,8,12,2
Truck Driver,0.762,0.242,0.229,2,50896,0.755,7,3,2
Nurse,0.304,0.418,0.987,3,87048,0.323,3,4,0
Financial Analyst,0.613,0.652,0.454,3,86493,0.633,13,2,1
Truck Driver,0.664,0.217,0.199,1,44731,0.706,10,3,2
Radiologist,0.402,0.576,0.502,5,289400,0.694,5,4,1
Data Entry Clerk,0.91,0.048,0.154,1,30998,0.954,8,0,2
Security Guard,0.707,0.065,0.364,1,32084,0.655,12,12,2
Marketing Manager,0.23,0.821,0.748,4,83224,0.523,4,7,0
Software Engineer,0.323,0.849,0.5,4,115870,0.594,8,5,0
Lawyer,0.359,0.753,0.751,5,136721,0.572,2,10,0
Data Entry Clerk,0.994,0.127,0.137,1,32150,1.0,10,0,2
HR Manager,0.28,0.62,0.672,3,88355,0.61,6,9,1
Accountant,0.564,0.291,0.434,3,67385,0.848,5,2,2
Lawyer,0.393,0.827,0.74,4,131200,0.472,8,10,0
Marketing Manager,0.352,0.721,0.694,3,107742,0.536,0,7,1
Cook / Chef,0.527,0.571,0.47,1,33466,0.339,14,11,1
Pharmacist,0.653,0.302,0.602,5,116469,0.62,4,4,1
HR Manager,0.517,0.573,0.738,3,85654,0.533,7,9,1
Telemarketer,0.766,0.005,0.488,1,33078,0.819,5,1,2
Warehouse Worker,0.767,0.034,0.288,1,33584,0.929,6,3,2
Software Engineer,0.308,0.777,0.564,5,126584,0.688,7,5,0
Lawyer,0.254,0.744,0.685,4,148480,0.551,6,10,0
Nurse,0.177,0.445,1.0,3,72541,0.229,9,4,0
HR Manager,0.414,0.548,0.733,3,82522,0.552,6,9,1
Nurse,0.448,0.405,0.922,2,67955,0.367,11,4,1
Research Scientist,0.131,0.882,0.551,5,106154,0.412,9,5,0
HR Manager,0.422,0.491,0.792,4,84537,0.477,6,9,1
Social Worker,0.238,0.567,0.889,3,51152,0.125,10,8,0
Cook / Chef,0.58,0.708,0.48,1,36522,0.395,3,11,1
Social Worker,0.195,0.473,0.888,4,50182,0.196,11,8,0
